Time(sec)	CellId	BwpId	IMSI	pathLoss(dB)
0.105	1	0	3	-130.601
0.105	1	0	8	-111.586
0.105	1	0	9	-104.347
0.105	1	0	7	-105.172
0.106	1	0	4	-104.334
0.106	1	0	5	-113.285
0.106	1	0	6	-90.6577
0.106	1	0	1	-127.688
0.106	1	0	2	-126.715
0.106	1	0	3	-130.634
0.106	1	0	8	-111.579
0.106	1	0	9	-104.333
0.106	1	0	7	-105.172
0.11	1	0	4	-104.257
0.11	1	0	5	-113.169
0.11	1	0	6	-90.2284
0.11	1	0	1	-127.794
0.11	1	0	2	-126.748
0.11	1	0	3	-130.237
0.11	1	0	8	-111.838
0.11	1	0	9	-104.298
0.11	1	0	7	-105.172
0.115	1	0	4	-104.189
0.115	1	0	5	-113.115
0.115	1	0	6	-89.8854
0.115	1	0	1	-127.509
0.115	1	0	2	-126.819
0.115	1	0	3	-130.407
0.115	1	0	8	-112.082
0.115	1	0	9	-104.392
0.115	1	0	7	-105.172
0.1185	1	0	4	-104.138
0.1185	1	0	5	-113.374
0.1185	1	0	6	-89.7921
0.1185	1	0	1	-127.341
0.1185	1	0	2	-126.97
0.1185	1	0	3	-130.394
0.1185	1	0	8	-111.8
0.1185	1	0	9	-104.458
0.1185	1	0	7	-105.172
0.12	1	0	4	-104.19
0.12	1	0	5	-113.342
0.12	1	0	6	-89.7446
0.12	1	0	1	-127.539
0.12	1	0	2	-127.204
0.12	1	0	3	-130.408
0.12	1	0	8	-111.896
0.12	1	0	9	-104.3
0.12	1	0	7	-105.172
0.121	1	0	4	-104.174
0.121	1	0	5	-113.334
0.121	1	0	6	-89.649
0.121	1	0	1	-127.61
0.121	1	0	2	-127.339
0.121	1	0	3	-130.307
0.121	1	0	8	-111.762
0.121	1	0	9	-104.356
0.121	1	0	7	-105.172
0.12325	1	0	4	-103.908
0.12325	1	0	5	-113.606
0.12325	1	0	6	-89.6511
0.12325	1	0	1	-127.835
0.12325	1	0	2	-127.462
0.12325	1	0	3	-130.422
0.12325	1	0	8	-112.154
0.12325	1	0	9	-104.664
0.12325	1	0	7	-105.172
0.1235	1	0	4	-103.92
0.1235	1	0	5	-113.646
0.1235	1	0	6	-89.6344
0.1235	1	0	1	-127.992
0.1235	1	0	2	-127.366
0.1235	1	0	3	-130.39
0.1235	1	0	8	-112.156
0.1235	1	0	9	-104.636
0.1235	1	0	7	-105.172
0.125	1	0	4	-104.045
0.125	1	0	5	-113.843
0.125	1	0	6	-89.5759
0.125	1	0	1	-127.892
0.125	1	0	2	-127.31
0.125	1	0	3	-130.249
0.125	1	0	8	-112.307
0.125	1	0	9	-104.641
0.125	1	0	7	-105.172
0.126	1	0	4	-103.902
0.126	1	0	5	-114.013
0.126	1	0	6	-89.4316
0.126	1	0	1	-127.732
0.126	1	0	2	-127.451
0.126	1	0	3	-130.101
0.126	1	0	8	-112.47
0.126	1	0	9	-104.538
0.126	1	0	7	-105.172
0.1285	1	0	4	-104.116
0.1285	1	0	5	-113.898
0.1285	1	0	6	-89.3372
0.1285	1	0	1	-127.736
0.1285	1	0	2	-127.342
0.1285	1	0	3	-130.301
0.1285	1	0	8	-112.309
0.1285	1	0	9	-104.48
0.1285	1	0	7	-105.172
0.13	1	0	4	-104.157
0.13	1	0	5	-113.792
0.13	1	0	6	-89.2863
0.13	1	0	1	-127.867
0.13	1	0	2	-127.498
0.13	1	0	3	-130.25
0.13	1	0	8	-112.404
0.13	1	0	9	-104.432
0.13	1	0	7	-105.172
