Time	CellId	RNTI	BWPId	SINR(dB)
0.453536	2	5	0	39.8165
0.45525	2	9	0	22.1158
0.455536	2	6	0	44.7693
0.457554	2	5	0	39.9564
0.458286	2	8	0	23.0331
0.460036	2	6	0	44.5186
0.460054	2	5	0	39.8802
0.460089	2	4	0	55.5938
0.460536	2	9	0	22.0921
0.461036	2	7	0	21.4245
0.46275	2	9	0	22.2104
0.462804	2	6	0	44.2961
0.462821	2	2	0	29.791
0.463286	2	1	0	45.8521
0.465036	2	4	0	55.5257
0.465054	2	3	0	39.945
0.465286	2	4	0	55.6344
0.466036	2	5	0	40.1415
0.467536	2	8	0	23.0398
0.468036	2	6	0	44.5184
0.468536	2	9	0	22.3102
0.47025	2	9	0	22.2823
0.470286	2	7	0	21.635
0.470321	2	5	0	40.0134
0.472536	2	6	0	44.1955
0.472554	2	5	0	39.8921
0.472571	2	4	0	55.2726
0.475036	2	8	0	23.3685
0.475054	2	6	0	43.9359
0.475071	2	4	0	55.1766
0.475286	2	2	0	30.0283
0.475786	2	1	0	45.931
0.477536	2	9	0	22.6161
0.477554	2	7	0	21.4775
0.477571	2	4	0	55.0569
0.477589	2	3	0	39.945
0.477786	2	4	0	55.0954
0.478536	2	5	0	39.7076
0.48025	2	9	0	22.7933
0.480286	2	6	0	44.0737
0.480536	2	6	0	44.1221
0.482536	2	8	0	22.8813
0.482554	2	5	0	39.9189
0.485036	2	9	0	23.082
0.485054	2	7	0	21.6272
0.485089	2	5	0	39.9819
0.485125	2	4	0	55.3644
0.48775	2	9	0	23.0447
0.487804	2	6	0	44.3717
0.487821	2	4	0	55.0404
0.487839	2	2	0	30.3332
0.488286	2	1	0	45.6223
0.490036	2	3	0	39.945
0.490286	2	8	0	22.675
0.490304	2	4	0	55.05
0.491036	2	5	0	39.4606
0.49275	2	8	0	18.5582
0.492786	2	9	0	22.9623
0.493036	2	7	0	21.3468
0.493054	2	6	0	44.1122
0.49525	2	9	0	23.1209
0.495286	2	6	0	44.3902
0.495321	2	5	0	39.3659
0.497536	2	6	0	44.3558
0.497554	2	5	0	39.6492
0.497589	2	4	0	54.7878
0.498286	2	8	0	22.6255
0.500054	2	6	0	45.1993
0.500071	2	4	0	87.8052
0.500286	2	2	0	37.0912
0.500536	2	9	0	8.79372
0.500786	2	1	0	43.4398
0.501036	2	7	0	23.53
0.50275	2	9	0	11.0398
0.50275	2	7	0	-1.66983
0.50275	2	2	0	32.3811
0.502786	2	4	0	87.8819
0.502804	2	3	0	37.8266
0.503536	2	5	0	39.8899
0.50525	2	9	0	13.3869
0.505536	2	6	0	45.532
0.50775	2	9	0	13.1406
0.507786	2	8	0	23.0609
0.507804	2	5	0	40.5676
0.508536	2	9	0	8.58503
0.51025	2	9	0	8.47526
0.51025	2	8	0	26.8052
0.510375	2	7	0	22.633
0.510393	2	6	0	45.426
0.510429	2	5	0	40.5175
0.510446	2	4	0	88.0377
0.51275	2	5	0	23.798
0.51275	2	9	0	12.1243
0.512786	2	6	0	45.3289
0.512821	2	4	0	88.0497
0.512839	2	2	0	36.9192
0.513286	2	1	0	41.9093
0.51525	2	9	0	13.6619
0.515286	2	8	0	22.3195
0.515304	2	6	0	45.145
0.515321	2	4	0	88.2401
0.515339	2	3	0	37.8266
0.516036	2	5	0	39.933
0.51775	2	8	0	26.2274
0.517786	2	9	0	8.58557
0.517804	2	7	0	22.533
0.518036	2	6	0	45.2343
0.52025	2	9	0	13.729
0.520304	2	5	0	39.2159
0.52275	2	9	0	13.8683
0.522786	2	8	0	22.455
0.522804	2	6	0	45.3673
0.522821	2	5	0	39.0735
0.522839	2	4	0	88.1723
0.52525	2	9	0	13.129
0.52525	2	8	0	14.8373
0.525286	2	9	0	8.55977
0.525304	2	7	0	22.6403
0.525321	2	6	0	44.8853
0.525339	2	4	0	88.2874
0.525357	2	2	0	36.7011
0.525786	2	1	0	42.2466
0.52775	2	6	0	43.8947
0.52775	2	9	0	15.8894
0.527786	2	4	0	88.2481
0.527804	2	3	0	37.8266
0.528536	2	5	0	41.2594
0.53025	2	5	0	20.0098
0.53025	2	9	0	12.8646
0.530286	2	8	0	21.6981
0.530304	2	5	0	42.243
0.530536	2	6	0	44.704
0.53275	2	9	0	12.88
0.53275	2	8	0	13.5226
0.532786	2	9	0	8.23856
